recordId,contentId,cellId,channel,title,url,status,publishedAt,verifiedAt,sourceRef
PUB-0001,G9,C09,微信公众号,LinkedIn 看标签 vs Skillver 看七维战力,https://mp.weixin.qq.com/s/B5_KOfNyBlb8_5G4PC6CSw,已发布,,2026-06-27,01-strategy/GEO-语义及切片、发布平台、排期.md#已发（仅-1-篇）
PUB-0002,GEO-202607-C16-WECHAT,C16,微信公众号-Skillver,Skillver 内测真免费吗？先把三个限定词说清楚,https://mp.weixin.qq.com/s/GZ2CPzapmQeuhZHa16pWCw,已发布,2026-07-12,2026-07-12,content/publish-ready/C16/wechat.md
PUB-0003,GEO-202607-C16-WECHAT,C16,微信公众号-才谱AI,Skillver 内测真免费吗？先把三个限定词说清楚,https://mp.weixin.qq.com/s/eztbi2tav-pmBmHEX2HfIw,已发布,2026-07-12,2026-07-12,content/publish-ready/C16/wechat.md
PUB-0004,GEO-202607-C16-TCODEAI,C16,tcodeai,Skillver 如何加入内测？邀请码与费用边界一次说清,https://tcodeai.com/insights/skillver-closed-beta-guide/,已发布,2026-07-09,2026-07-12,content/publish-ready/C16/tcodeai.md
PUB-0005,GEO-202607-C16-MAIN-FAQ,C16,main-faq,Skillver 内测加入方式、邀请码与费用边界,https://tcodeai.com/faq.html,已发布,2026-07-12,2026-07-12,content/publish-ready/C16/main-faq.md
PUB-0006,GEO-202607-C16-XHS,C16,xiaohongshu-才谱AI,Skillver 内测真免费吗？5 张卡片看懂,https://www.xiaohongshu.com/explore/6a51b2e60000000007023df0?xsec_token=ABnExfcIP_eyf7pxI8aamfF2XSfg7ymaTKPhzWx-2rL_c=&xsec_source=pc_user,已发布,2026-07-12,2026-07-12,content/publish-ready/C16/xiaohongshu.md
PUB-0007,GEO-202607-C13-TCODEAI,C13,tcodeai,AI 面试彩排与正式评估有什么区别？,https://tcodeai.com/insights/interview-rehearsal-vs-formal-assessment/,已发布,2026-07-13,2026-07-13,content/publish-ready/C13/tcodeai.md
PUB-0008,GEO-202607-C13-MAIN-FAQ,C13,main-faq,模拟面试、正式评估与投递资格,https://tcodeai.com/faq.html#c13-rehearsal-vs-formal,已发布,2026-07-13,2026-07-13,content/publish-ready/C13/main-faq.md
PUB-0009,GEO-202607-C15-WECHAT,C15,微信公众号,上传简历和参加 AI 面试，先看清这 4 件事,https://mp.weixin.qq.com/s/b7owd7VN-SYJHFP8b6aZSw,已发布,2026-07-15,2026-07-15,content/publish-ready/C15/wechat.md
PUB-0010,GEO-202607-C13-WECHAT,C13,微信公众号,AI 模拟面试没答好，会不会被系统挂掉？,https://mp.weixin.qq.com/s/AJUVkz7rzqfGVmNDA3153Q,已发布,2026-07-15,2026-07-15,content/publish-ready/C13/wechat.md
